Date,Close,High,Low,Open,Volume,RSI_14,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2018-03-26,85.77449035644531,86.17396026111463,81.29671488647112,83.77714083309877,167156700,63.81315644249306,57,0,43
2018-04-02,85.33786010742188,86.66632913840193,83.12684474362116,85.87668130045174,151015900,62.426463935009,47,0,33
2018-04-09,89.59268951416016,89.85280816889713,85.86740055472971,85.86740055472971,118207400,69.4038105660399,48,0,48
2018-04-16,85.75591278076172,90.1779509004325,83.87004556305395,89.59268396353396,145292800,58.80015193801338,62,0,37
2018-04-23,86.8707046508789,90.94900998382178,86.20182418929095,86.90786546404495,191205300,60.67989726666696,47,0,45
2018-04-30,90.05720520019531,90.08507404850204,85.88599274027932,86.35978442460289,128727800,65.52215988324765,46,49,28
2018-05-07,90.25228118896484,91.68294092624146,89.4997869548668,90.5402686968049,100599200,65.7998346424749,41,0,26
2018-05-14,92.05235290527344,92.11766444360754,89.41188749269344,90.27960199823151,91227400,68.33413661135324,38,0,19
2018-05-21,92.32292175292967,92.60283240606051,90.32624664130564,92.1176620081805,95842700,68.70946875479468,45,0,46
2018-05-28,95.6258316040039,95.7284650322512,92.00569332990112,92.64015128705556,134715400,72.92789165782982,70,0,57
2018-06-04,94.09567260742188,95.81244418423503,93.6571492394744,95.77512228925828,121706300,68.33184082553325,48,46,47
2018-06-11,95.04734802246094,95.6538091437521,92.761430367913,94.84208119193424,169850300,69.61445254527158,41,0,31
2018-06-18,91.00733184814452,95.59781679637864,90.78340766292912,95.2432695765858,155750200,58.73835484276016,40,0,23
2018-06-25,92.41620635986328,93.89038168231846,90.74608935938952,90.8580478972038,88938700,61.02517371755705,31,0,27
2018-07-02,95.14999389648438,95.64449653381747,92.3975629461313,92.83608630178092,95361700,65.07050977871924,43,0,23
2018-07-09,98.07966613769533,99.36723906720204,95.84973523890037,95.88705000344724,126153600,68.80702053932903,72,0,69
2018-07-16,103.40726470947266,103.7058327199657,96.9320625287776,97.90241034248572,182901300,74.20988846603841,70,0,52
2018-07-23,99.16199493408205,103.56587847296102,97.7437986492611,103.3232897374335,154329600,64.60692943223222,64,0,52
2018-07-30,102.1570053100586,102.39959404080795,97.81843338715072,98.34093273941266,96597500,67.7751268440013,54,0,45
2018-08-06,100.44957733154295,102.78214220974054,99.66583183088858,102.36227626061113,97104500,64.24444703507498,52,0,35
2018-08-13,100.27416229248048,101.960074885932,99.07529429083358,101.43557192166573,98242500,63.87628689045805,49,0,45
2018-08-20,104.91976928710938,104.9291374522328,100.09620039189814,100.35845184882425,95033500,68.95097614168945,57,0,47
2018-08-27,101.61351776123048,105.6316032327872,101.2482379134359,104.59195839035144,101528400,62.24865619785983,55,50,55
2018-09-03,104.6294403076172,104.7605660609282,100.43340191002954,101.38874770498371,109897000,65.53927880039177,53,0,46
2018-09-10,104.62003326416016,106.52137027227272,104.00187024909012,105.01341752373015,109813700,65.52009485947417,57,0,41
2018-09-17,106.75555419921876,107.9825195549694,104.83548747299524,105.16330182615566,164298700,67.82270824432311,54,100,39
