Date,Close,High,Low,Open,Volume,RSI_14,Google stock,sell Google stock,buy Google stock
2019-12-16,66.86132049560547,67.86058539576221,66.82250288587872,67.27237559485002,120310000,68.0343315406816,34,49,40
2019-12-23,66.53585815429688,67.90487748492401,66.1409770613322,66.99120572310484,74372000,66.38780769062038,41,35,39
2019-12-30,69.88499450683594,70.24628223696304,66.76128586347674,66.76128586347674,147120000,73.49611519902987,25,23,23
2020-01-06,71.62077331542969,71.7501577503537,70.18108957085238,70.69366880148068,156310000,76.29425386592318,25,30,21
2020-01-13,73.94725036621094,74.80637844327426,71.70636131896829,72.03082851240758,144348000,79.42901127900102,24,22,23
2020-01-20,72.58769989013672,74.4235025000032,70.7250165412007,74.03136263361094,150922000,73.32670857620144,27,26,24
2020-01-27,72.07013702392578,74.14879239752527,70.97880954170255,71.65858840938685,254252000,71.08767124718632,37,34,35
2020-02-03,75.55563354492188,76.12095672165356,72.13682893362747,72.17465180221268,135676000,76.32959855564043,30,25,28
2020-02-10,75.97464752197266,76.24416865845099,74.87535453141558,75.27794290166996,83946000,76.8724562179978,28,26,22
2020-02-17,69.33061981201172,76.1214614222491,68.6249624458566,75.74125842727021,207522000,55.23943468498096,44,50,39
2020-02-24,68.99918365478516,70.17511717376871,63.25041537646536,67.78194947837918,270290000,54.416752340567065,40,39,37
2020-03-02,60.48401641845703,67.62519513308683,59.521575983051314,67.19174706995427,276144000,38.53712662473094,73,60,87
2020-03-09,54.58147811889648,60.700494559071565,51.61950559200986,56.03459460068032,405482000,31.64382955874557,77,54,100
2020-03-16,54.8646354675293,57.62555670203439,50.4379020656445,54.39486042178758,374460000,32.2697284587386,58,37,73
2020-03-23,55.0203971862793,58.48847172957154,54.41874705170317,55.32794243794886,283698000,32.6351359770583,45,49,57
2020-03-30,60.22872543334961,60.96125585010813,53.73597991107262,54.65412788137117,226108000,43.59350827246853,40,34,47
2020-04-06,62.825927734375,63.801307420491455,59.09997665000158,60.9154742805613,161146000,48.12520772484091,43,46,55
2020-04-13,62.86275100708008,64.41638923003246,60.20036213870567,63.40468639577863,208160000,48.18876382680424,41,33,53
2020-04-20,66.75779724121094,67.67893321616539,61.319558729542514,63.27778232558525,231026000,54.53418917664691,77,100,83
2020-04-27,67.04743194580078,68.37315348207125,64.64381560693721,65.93172186809926,182246000,54.97576550847054,59,95,71
2020-05-04,67.14845275878906,70.4926138535386,66.10688495282199,67.97503541728962,147996000,55.13942103103227,35,43,37
2020-05-11,70.00442504882812,70.18855809713762,65.88344860787369,66.43632613879925,161384000,59.60927921504017,35,45,39
2020-05-18,70.55780029296875,71.71034600498756,69.23655898108824,70.06812289162369,128816000,60.43194603586847,31,28,28
2020-05-25,71.48043823242188,71.9866389762385,69.47095879646541,69.51375536115873,145290000,61.82794217631245,32,48,34
